,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,fare_percent
28,1,3,female,28.0,0,0,7.8792,Q,Third,woman,False,,Queenstown,yes,True,0.029031567419122283
29,0,3,male,28.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,0.029092731499125005
30,0,1,male,40.0,0,0,27.7208,C,First,man,True,,Cherbourg,no,True,0.10213959210478285
31,1,1,female,28.0,1,0,146.5208,C,First,woman,False,B,Cherbourg,yes,False,0.5398680682688258
32,1,3,female,28.0,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,0.028555519278378225
33,0,2,male,66.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,0.038688122893286624
34,0,1,male,28.0,1,0,82.1708,C,First,man,True,,Cherbourg,no,False,0.3027651436799692
35,0,1,male,42.0,1,0,52.0,S,First,man,True,,Southampton,no,False,0.19159832290008616
36,1,3,male,28.0,0,0,7.2292,C,Third,man,True,,Cherbourg,yes,True,0.026636588382871206
37,0,3,male,21.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,0.029660894218186417
38,0,3,female,18.0,2,0,18.0,S,Third,woman,False,,Southampton,no,False,0.06632249638849136
39,1,3,female,14.0,1,0,11.2417,C,Third,child,False,,Cherbourg,yes,False,0.04142097820280574
40,0,3,female,40.0,1,0,9.475,S,Third,woman,False,,Southampton,no,False,0.03491142518227531
41,0,2,female,27.0,1,0,21.0,S,Second,woman,False,,Southampton,no,False,0.07737624578657325
42,0,3,male,28.0,0,0,7.8958,C,Third,man,True,,Cherbourg,no,True,0.029092731499125005
43,1,2,female,3.0,1,2,41.5792,C,Second,child,False,,Cherbourg,yes,False,0.1532020189909089
44,1,3,female,19.0,0,0,7.8792,Q,Third,woman,False,,Queenstown,yes,True,0.029031567419122283
45,0,3,male,28.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,0.029660894218186417
46,0,3,male,28.0,1,0,15.5,Q,Third,man,True,,Queenstown,no,False,0.05711103855675645
48,0,3,male,28.0,2,0,21.6792,C,Third,man,True,,Cherbourg,no,False,0.079878814650299
49,0,3,female,18.0,1,0,17.8,S,Third,woman,False,,Southampton,no,False,0.06558557976195256
50,0,3,male,7.0,4,1,39.6875,S,Third,child,False,,Southampton,no,False,0.14623189307879172
51,0,3,male,21.0,0,0,7.8,S,Third,man,True,,Southampton,no,True,0.028739748435012924
52,1,1,female,49.0,1,0,76.7292,C,First,woman,False,D,Cherbourg,yes,False,0.28271511610510175
53,1,2,female,29.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False,0.09579916145004308
54,0,1,male,65.0,0,1,61.9792,C,First,man,True,B,Cherbourg,no,False,0.22836751489786578
55,1,1,male,28.0,0,0,35.5,S,First,man,True,C,Southampton,yes,True,0.13080270121063575
56,1,2,female,21.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True,0.038688122893286624
57,0,3,male,28.5,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True,0.026636588382871206
58,1,2,female,5.0,1,2,27.75,S,Second,child,False,,Southampton,yes,False,0.10224718193225751
59,0,3,male,11.0,5,2,46.9,S,Third,child,False,,Southampton,no,False,0.17280694892334694
60,0,3,male,22.0,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True,0.026636588382871206
61,1,1,female,38.0,0,0,80.0,Unknown,First,woman,False,B,,yes,True,0.29476665061551716
62,0,1,male,45.0,1,0,83.475,S,First,man,True,C,Southampton,no,False,0.30757057700162865
63,0,3,male,4.0,3,2,27.9,S,Third,child,False,,Southampton,no,False,0.1027998694021616
64,0,1,male,28.0,0,0,27.7208,C,First,man,True,,Cherbourg,no,True,0.10213959210478285
65,1,3,male,28.0,1,1,15.2458,C,Third,man,True,,Cherbourg,yes,False,0.05617441752442564
66,1,2,female,29.0,0,0,10.5,S,Second,woman,False,F,Southampton,yes,True,0.038688122893286624
67,0,3,male,19.0,0,0,8.1583,S,Third,man,True,,Southampton,no,True,0.030059934571457173
68,1,3,female,17.0,4,2,7.925,S,Third,woman,False,,Southampton,yes,False,0.02920032132659967
69,0,3,male,26.0,2,0,8.6625,S,Third,man,True,,Southampton,no,False,0.03191770138696147
70,0,2,male,32.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,0.038688122893286624
71,0,3,female,16.0,5,2,46.9,S,Third,woman,False,,Southampton,no,False,0.17280694892334694
72,0,2,male,21.0,0,0,73.5,S,Second,man,True,,Southampton,no,True,0.2708168602530064
73,0,3,male,26.0,1,0,14.4542,C,Third,man,True,,Cherbourg,no,False,0.0532577015165851
74,1,3,male,32.0,0,0,56.4958,S,Third,man,True,,Southampton,yes,True,0.2081634717480517
75,0,3,male,25.0,0,0,7.65,S,Third,man,True,F,Southampton,no,True,0.028187060965108826
78,1,2,male,0.83,0,2,29.0,S,Second,child,False,,Southampton,yes,False,0.10685291084812497
79,1,3,female,30.0,0,0,12.475,S,Third,woman,False,,Southampton,yes,True,0.045965174580357204
80,0,3,male,22.0,0,0,9.0,S,Third,man,True,,Southampton,no,True,0.03316124819424568
81,1,3,male,29.0,0,0,9.5,S,Third,man,True,,Southampton,yes,True,0.035003539760592665
82,1,3,female,28.0,0,0,7.7875,Q,Third,woman,False,,Queenstown,yes,True,0.02869369114585425
83,0,1,male,28.0,0,0,47.1,S,First,man,True,,Southampton,no,True,0.17354386554988574
84,1,2,female,17.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True,0.038688122893286624
85,1,3,female,33.0,3,0,15.85,S,Third,woman,False,,Southampton,yes,False,0.05840064265319934
86,0,3,male,16.0,1,3,34.375,S,Third,man,True,,Southampton,no,False,0.12665754518635503
88,1,1,female,23.0,3,2,263.0,S,First,woman,False,C,Southampton,yes,False,0.9690453638985127
89,0,3,male,24.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,0.029660894218186417
90,0,3,male,29.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,0.029660894218186417
91,0,3,male,20.0,0,0,7.8542,S,Third,man,True,,Southampton,no,True,0.028939452840804937
92,0,1,male,46.0,1,0,61.175,S,First,man,True,E,Southampton,no,False,0.2254043731425533
93,0,3,male,26.0,1,2,20.575,S,Third,man,True,,Southampton,no,False,0.07581029795517832
94,0,3,male,59.0,0,0,7.25,S,Third,man,True,,Southampton,no,True,0.026713227712031242
96,0,1,male,71.0,0,0,34.6542,C,First,man,True,A,Cherbourg,no,True,0.1276862807970032
97,1,1,male,23.0,0,1,63.3583,C,First,man,True,D,Cherbourg,yes,False,0.233448923496164
98,1,2,female,34.0,0,1,23.0,S,Second,woman,False,,Southampton,yes,False,0.08474541205196119
99,0,2,male,34.0,1,0,26.0,S,Second,man,True,,Southampton,no,False,0.09579916145004308
100,0,3,female,28.0,0,0,7.8958,S,Third,woman,False,,Southampton,no,True,0.029092731499125005
102,0,1,male,21.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False,0.28477221886808474
103,0,3,male,33.0,0,0,8.6542,S,Third,man,True,,Southampton,no,True,0.031887119346960105
104,0,3,male,37.0,2,0,7.925,S,Third,man,True,,Southampton,no,False,0.02920032132659967
106,1,3,female,21.0,0,0,7.65,S,Third,woman,False,,Southampton,yes,True,0.028187060965108826
107,1,3,male,28.0,0,0,7.775,S,Third,man,True,,Southampton,yes,True,0.028647633856695574
108,0,3,male,38.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,0.029092731499125005
109,1,3,female,28.0,1,0,24.15,Q,Third,woman,False,,Queenstown,yes,False,0.08898268265455925
110,0,1,male,47.0,0,0,52.0,S,First,man,True,C,Southampton,no,True,0.19159832290008616
111,0,3,female,14.5,1,0,14.4542,C,Third,child,False,,Cherbourg,no,False,0.0532577015165851
112,0,3,male,22.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,0.029660894218186417
113,0,3,female,20.0,1,0,9.825,S,Third,woman,False,,Southampton,no,False,0.0362010292787182
114,0,3,female,17.0,0,0,14.4583,C,Third,woman,False,,Cherbourg,no,True,0.05327280830742915
115,0,3,male,21.0,0,0,7.925,S,Third,man,True,,Southampton,no,True,0.02920032132659967
116,0,3,male,70.5,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,0.028555519278378225
117,0,2,male,29.0,1,0,21.0,S,Second,man,True,,Southampton,no,False,0.07737624578657325
118,0,1,male,24.0,0,1,247.5208,C,First,man,True,B,Cherbourg,no,False,0.9120109646709164
119,0,3,female,2.0,4,2,31.275,S,Third,child,False,,Southampton,no,False,0.11523533747500372
120,0,2,male,21.0,2,0,73.5,S,Second,man,True,,Southampton,no,False,0.2708168602530064
122,0,2,male,32.5,1,0,30.0708,C,Second,man,True,,Cherbourg,no,False,0.11079836246661366
123,1,2,female,32.5,0,0,13.0,S,Second,woman,False,E,Southampton,yes,True,0.04789958072502154
124,0,1,male,54.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False,0.28477221886808474
125,1,3,male,12.0,1,0,11.2417,C,Third,child,False,,Cherbourg,yes,False,0.04142097820280574
126,0,3,male,28.0,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,0.028555519278378225
127,1,3,male,24.0,0,0,7.1417,S,Third,man,True,,Southampton,yes,True,0.026314187358760486
128,1,3,female,28.0,1,1,22.3583,C,Third,woman,False,F,Cherbourg,yes,False,0.08238101505571147
129,0,3,male,45.0,0,0,6.975,S,Third,man,True,,Southampton,no,True,0.0256999673505404
130,0,3,male,33.0,0,0,7.8958,C,Third,man,True,,Cherbourg,no,True,0.029092731499125005
131,0,3,male,20.0,0,0,7.05,S,Third,man,True,,Southampton,no,True,0.025976311085492452
132,0,3,female,47.0,1,0,14.5,S,Third,woman,False,,Southampton,no,False,0.053426455424062484
134,0,2,male,25.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,0.04789958072502154
135,0,2,male,23.0,0,0,15.0458,C,Second,man,True,,Cherbourg,no,True,0.05543750089788685
136,1,1,female,19.0,0,2,26.2833,S,First,woman,False,D,Southampton,yes,False,0.09684300385153527
137,0,1,male,37.0,1,0,53.1,S,First,man,True,C,Southampton,no,False,0.19565136434604954
138,0,3,male,16.0,0,0,9.2167,S,Third,man,True,,Southampton,no,True,0.03395969735910046
139,0,1,male,24.0,0,0,79.2,C,First,man,True,B,Cherbourg,no,True,0.291818984109362
140,0,3,female,28.0,0,2,15.2458,C,Third,woman,False,,Cherbourg,no,False,0.05617441752442564
141,1,3,female,22.0,0,0,7.75,S,Third,woman,False,,Southampton,yes,True,0.028555519278378225
142,1,3,female,24.0,1,0,15.85,S,Third,woman,False,,Southampton,yes,False,0.05840064265319934
143,0,3,male,19.0,0,0,6.75,Q,Third,man,True,,Queenstown,no,True,0.02487093614568426
144,0,2,male,18.0,0,0,11.5,S,Second,man,True,,Southampton,no,True,0.042372706025980596
145,0,2,male,19.0,1,1,36.75,S,Second,man,True,,Southampton,no,False,0.1354084301265032
146,1,3,male,27.0,0,0,7.7958,S,Third,man,True,,Southampton,yes,True,0.028724273185855607
147,0,3,female,9.0,2,2,34.375,S,Third,child,False,,Southampton,no,False,0.12665754518635503
148,0,2,male,36.5,0,2,26.0,S,Second,man,True,F,Southampton,no,False,0.09579916145004308
149,0,2,male,42.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,0.04789958072502154
150,0,2,male,51.0,0,0,12.525,S,Second,man,True,,Southampton,no,True,0.04614940373699191
151,1,1,female,22.0,1,0,66.6,S,First,woman,False,C,Southampton,yes,False,0.245393236637418
152,0,3,male,55.5,0,0,8.05,S,Third,man,True,,Southampton,no,True,0.029660894218186417
153,0,3,male,40.5,0,2,14.5,S,Third,man,True,,Southampton,no,False,0.053426455424062484
154,0,3,male,28.0,0,0,7.3125,S,Third,man,True,,Southampton,no,True,0.026943514157824613
155,0,1,male,51.0,0,1,61.3792,C,First,man,True,,Cherbourg,no,False,0.22615676501824938
156,1,3,female,16.0,0,0,7.7333,Q,Third,woman,False,,Queenstown,yes,True,0.028493986740062236
157,0,3,male,30.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,0.029660894218186417
158,0,3,male,28.0,0,0,8.6625,S,Third,man,True,,Southampton,no,True,0.03191770138696147
159,0,3,male,28.0,8,2,69.55,S,Third,man,True,,Southampton,no,False,0.2562627568788652
160,0,3,male,44.0,0,1,16.1,S,Third,man,True,,Southampton,no,False,0.059321788436372834
161,1,2,female,40.0,0,0,15.75,S,Second,woman,False,,Southampton,yes,True,0.05803218433992994
162,0,3,male,26.0,0,0,7.775,S,Third,man,True,,Southampton,no,True,0.028647633856695574
163,0,3,male,17.0,0,0,8.6625,S,Third,man,True,,Southampton,no,True,0.03191770138696147
164,0,3,male,1.0,4,1,39.6875,S,Third,child,False,,Southampton,no,False,0.14623189307879172
165,1,3,male,9.0,0,2,20.525,S,Third,child,False,,Southampton,yes,False,0.07562606879854361
166,1,1,female,28.0,0,1,55.0,S,First,woman,False,E,Southampton,yes,False,0.20265207229816806
167,0,3,female,45.0,1,4,27.9,S,Third,woman,False,,Southampton,no,False,0.1027998694021616
168,0,1,male,28.0,0,0,25.925,S,First,man,True,,Southampton,no,True,0.09552281771509102
169,0,3,male,28.0,0,0,56.4958,S,Third,man,True,,Southampton,no,True,0.2081634717480517
170,0,1,male,61.0,0,0,33.5,S,First,man,True,B,Southampton,no,True,0.12343353494524781
171,0,3,male,4.0,4,1,29.125,Q,Third,child,False,,Queenstown,no,False,0.10731348373971172
172,1,3,female,1.0,1,1,11.1333,S,Third,child,False,,Southampton,yes,False,0.041021569391221716
174,0,1,male,56.0,0,0,30.6958,C,First,man,True,A,Cherbourg,no,True,0.11310122692454738
175,0,3,male,18.0,1,1,7.8542,S,Third,man,True,,Southampton,no,False,0.028939452840804937
176,0,3,male,28.0,3,1,25.4667,S,Third,man,True,,Southampton,no,False,0.09383417326537738
177,0,1,female,50.0,0,0,28.7125,C,First,woman,False,C,Cherbourg,no,True,0.10579359319747544
178,0,2,male,30.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,0.04789958072502154
179,0,3,male,36.0,0,0,0.0,S,Third,man,True,,Southampton,no,True,0.0
180,0,3,female,28.0,8,2,69.55,S,Third,woman,False,,Southampton,no,False,0.2562627568788652
181,0,2,male,28.0,0,0,15.05,C,Second,man,True,,Cherbourg,no,True,0.05545297614704417
182,0,3,male,9.0,4,2,31.3875,S,Third,child,False,,Southampton,no,False,0.11564985307743181
183,1,2,male,1.0,2,1,39.0,S,Second,child,False,F,Southampton,yes,False,0.14369874217506462
184,1,3,female,4.0,0,2,22.025,S,Third,child,False,,Southampton,yes,False,0.08115294349758456
185,0,1,male,28.0,0,0,50.0,S,First,man,True,A,Southampton,no,True,0.18422915663469822
186,1,3,female,28.0,1,0,15.5,Q,Third,woman,False,,Queenstown,yes,False,0.05711103855675645
187,1,1,male,45.0,0,0,26.55,S,First,man,True,,Southampton,yes,True,0.09782568217302477
188,0,3,male,40.0,1,1,15.5,Q,Third,man,True,,Queenstown,no,False,0.05711103855675645
189,0,3,male,36.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,0.029092731499125005
190,1,2,female,32.0,0,0,13.0,S,Second,woman,False,,Southampton,yes,True,0.04789958072502154
191,0,2,male,19.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,0.04789958072502154
192,1,3,female,19.0,1,0,7.8542,S,Third,woman,False,,Southampton,yes,False,0.028939452840804937
193,1,2,male,3.0,1,1,26.0,S,Second,child,False,F,Southampton,yes,False,0.09579916145004308
194,1,1,female,44.0,0,0,27.7208,C,First,woman,False,B,Cherbourg,yes,True,0.10213959210478285
195,1,1,female,58.0,0,0,146.5208,C,First,woman,False,B,Cherbourg,yes,True,0.5398680682688258
197,0,3,male,42.0,0,1,8.4042,S,Third,man,True,,Southampton,no,False,0.030965973563786615
199,0,2,female,24.0,0,0,13.0,S,Second,woman,False,,Southampton,no,True,0.04789958072502154
200,0,3,male,28.0,0,0,9.5,S,Third,man,True,,Southampton,no,True,0.035003539760592665
202,0,3,male,34.0,0,0,6.4958,S,Third,man,True,,Southampton,no,True,0.023934315113353456
203,0,3,male,45.5,0,0,7.225,C,Third,man,True,,Cherbourg,no,True,0.02662111313371389
204,1,3,male,18.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True,0.029660894218186417
205,0,3,female,2.0,0,1,10.4625,S,Third,child,False,G,Southampton,no,False,0.0385499510258106
206,0,3,male,32.0,1,0,15.85,S,Third,man,True,,Southampton,no,False,0.05840064265319934
207,1,3,male,26.0,0,0,18.7875,C,Third,man,True,,Cherbourg,yes,True,0.06922410560548786
208,1,3,female,16.0,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,0.028555519278378225
209,1,1,male,40.0,0,0,31.0,C,First,man,True,A,Cherbourg,yes,True,0.1142220771135129
210,0,3,male,24.0,0,0,7.05,S,Third,man,True,,Southampton,no,True,0.025976311085492452
211,1,2,female,35.0,0,0,21.0,S,Second,woman,False,,Southampton,yes,True,0.07737624578657325
212,0,3,male,22.0,0,0,7.25,S,Third,man,True,,Southampton,no,True,0.026713227712031242
214,0,3,male,28.0,1,0,7.75,Q,Third,man,True,,Queenstown,no,False,0.028555519278378225
215,1,1,female,31.0,1,0,113.275,C,First,woman,False,D,Cherbourg,yes,False,0.4173711543559088
216,1,3,female,27.0,0,0,7.925,S,Third,woman,False,,Southampton,yes,True,0.02920032132659967
217,0,2,male,42.0,1,0,27.0,S,Second,man,True,,Southampton,no,False,0.09948374458273704
218,1,1,female,32.0,0,0,76.2917,C,First,woman,False,D,Cherbourg,yes,True,0.28110311098454815
219,0,2,male,30.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,0.038688122893286624
220,1,3,male,16.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True,0.029660894218186417
221,0,2,male,27.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,0.04789958072502154
222,0,3,male,51.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,0.029660894218186417
224,1,1,male,38.0,1,0,90.0,S,First,man,True,C,Southampton,yes,False,0.3316124819424568
225,0,3,male,22.0,0,0,9.35,S,Third,man,True,,Southampton,no,True,0.03445085229068856
226,1,2,male,19.0,0,0,10.5,S,Second,man,True,,Southampton,yes,True,0.038688122893286624
227,0,3,male,20.5,0,0,7.25,S,Third,man,True,,Southampton,no,True,0.026713227712031242
228,0,2,male,18.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,0.04789958072502154
229,0,3,female,28.0,3,1,25.4667,S,Third,woman,False,,Southampton,no,False,0.09383417326537738
230,1,1,female,35.0,1,0,83.475,S,First,woman,False,C,Southampton,yes,False,0.30757057700162865
231,0,3,male,29.0,0,0,7.775,S,Third,man,True,,Southampton,no,True,0.028647633856695574
232,0,2,male,59.0,0,0,13.5,S,Second,man,True,,Southampton,no,True,0.04974187229136852
233,1,3,female,5.0,4,2,31.3875,S,Third,child,False,,Southampton,yes,False,0.11564985307743181
234,0,2,male,24.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,0.038688122893286624
235,0,3,female,28.0,0,0,7.55,S,Third,woman,False,,Southampton,no,True,0.027818602651839427
236,0,2,male,44.0,1,0,26.0,S,Second,man,True,,Southampton,no,False,0.09579916145004308
237,1,2,female,8.0,0,2,26.25,S,Second,child,False,,Southampton,yes,False,0.09672030723321656
238,0,2,male,19.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,0.038688122893286624
239,0,2,male,33.0,0,0,12.275,S,Second,man,True,,Southampton,no,True,0.045228257953818414
240,0,3,female,28.0,1,0,14.4542,C,Third,woman,False,,Cherbourg,no,False,0.0532577015165851
242,0,2,male,29.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,0.038688122893286624
243,0,3,male,22.0,0,0,7.125,S,Third,man,True,,Southampton,no,True,0.026252654820444497
244,0,3,male,30.0,0,0,7.225,C,Third,man,True,,Cherbourg,no,True,0.02662111313371389
245,0,1,male,44.0,2,0,90.0,Q,First,man,True,C,Queenstown,no,False,0.3316124819424568
246,0,3,female,25.0,0,0,7.775,S,Third,woman,False,,Southampton,no,True,0.028647633856695574
247,1,2,female,24.0,0,2,14.5,S,Second,woman,False,,Southampton,yes,False,0.053426455424062484
248,1,1,male,37.0,1,1,52.5542,S,First,man,True,D,Southampton,yes,False,0.19364031887222516
249,0,2,male,54.0,1,0,26.0,S,Second,man,True,,Southampton,no,False,0.09579916145004308
250,0,3,male,28.0,0,0,7.25,S,Third,man,True,,Southampton,no,True,0.026713227712031242
251,0,3,female,29.0,1,1,10.4625,S,Third,woman,False,G,Southampton,no,False,0.0385499510258106
252,0,1,male,62.0,0,0,26.55,S,First,man,True,C,Southampton,no,True,0.09782568217302477
253,0,3,male,30.0,1,0,16.1,S,Third,man,True,,Southampton,no,False,0.059321788436372834
254,0,3,female,41.0,0,2,20.2125,S,Third,woman,False,,Southampton,no,False,0.07447463656957676
255,1,3,female,29.0,0,2,15.2458,C,Third,woman,False,,Cherbourg,yes,False,0.05617441752442564
256,1,1,female,28.0,0,0,79.2,C,First,woman,False,,Cherbourg,yes,True,0.291818984109362
257,1,1,female,30.0,0,0,86.5,S,First,woman,False,B,Southampton,yes,True,0.3187164409780279
258,1,1,female,35.0,0,0,512.3292,C,First,woman,False,,Cherbourg,yes,True,1.8877195287065927
259,1,2,female,50.0,0,1,26.0,S,Second,woman,False,,Southampton,yes,False,0.09579916145004308
261,1,3,male,3.0,4,2,31.3875,S,Third,child,False,,Southampton,yes,False,0.11564985307743181
262,0,1,male,52.0,1,1,79.65,S,First,man,True,E,Southampton,no,False,0.2934770465190743
263,0,1,male,40.0,0,0,0.0,S,First,man,True,B,Southampton,no,True,0.0
264,0,3,female,28.0,0,0,7.75,Q,Third,woman,False,,Queenstown,no,True,0.028555519278378225
265,0,2,male,36.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,0.038688122893286624
266,0,3,male,16.0,4,1,39.6875,S,Third,man,True,,Southampton,no,False,0.14623189307879172
267,1,3,male,25.0,1,0,7.775,S,Third,man,True,,Southampton,yes,False,0.028647633856695574
268,1,1,female,58.0,0,1,153.4625,S,First,woman,False,C,Southampton,yes,False,0.5654453390010475
269,1,1,female,35.0,0,0,135.6333,S,First,woman,False,C,Southampton,yes,True,0.49975216941162026
270,0,1,male,28.0,0,0,31.0,S,First,man,True,,Southampton,no,True,0.1142220771135129
271,1,3,male,25.0,0,0,0.0,S,Third,man,True,,Southampton,yes,True,0.0
272,1,2,female,41.0,0,1,19.5,S,Second,woman,False,,Southampton,yes,False,0.07184937108753231
273,0,1,male,37.0,0,1,29.7,C,First,man,True,C,Cherbourg,no,False,0.10943211904101074
275,1,1,female,63.0,1,0,77.9583,S,First,woman,False,D,Southampton,yes,False,0.28724383723349584
276,0,3,female,45.0,0,0,7.75,S,Third,woman,False,,Southampton,no,True,0.028555519278378225
277,0,2,male,28.0,0,0,0.0,S,Second,man,True,,Southampton,no,True,0.0
278,0,3,male,7.0,4,1,29.125,Q,Third,child,False,,Queenstown,no,False,0.10731348373971172
279,1,3,female,35.0,1,1,20.25,S,Third,woman,False,,Southampton,yes,False,0.07461280843705279
280,0,3,male,65.0,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,0.028555519278378225
281,0,3,male,28.0,0,0,7.8542,S,Third,man,True,,Southampton,no,True,0.028939452840804937
282,0,3,male,16.0,0,0,9.5,S,Third,man,True,,Southampton,no,True,0.035003539760592665
283,1,3,male,19.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True,0.029660894218186417
284,0,1,male,28.0,0,0,26.0,S,First,man,True,A,Southampton,no,True,0.09579916145004308
285,0,3,male,33.0,0,0,8.6625,C,Third,man,True,,Cherbourg,no,True,0.03191770138696147
286,1,3,male,30.0,0,0,9.5,S,Third,man,True,,Southampton,yes,True,0.035003539760592665
287,0,3,male,22.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,0.029092731499125005
288,1,2,male,42.0,0,0,13.0,S,Second,man,True,,Southampton,yes,True,0.04789958072502154
289,1,3,female,22.0,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,0.028555519278378225
290,1,1,female,26.0,0,0,78.85,S,First,woman,False,,Southampton,yes,True,0.2905293800129191
291,1,1,female,19.0,1,0,91.0792,C,First,woman,False,B,Cherbourg,yes,False,0.33558888405926013
292,0,2,male,36.0,0,0,12.875,C,Second,man,True,D,Cherbourg,no,True,0.04743900783343479
293,0,3,female,24.0,0,0,8.85,S,Third,woman,False,,Southampton,no,True,0.03260856072434159
294,0,3,male,24.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,0.029092731499125005
296,0,3,male,23.5,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True,0.026636588382871206
297,0,1,female,2.0,1,2,151.55,S,First,child,False,C,Southampton,no,False,0.5583985737597704
298,1,1,male,28.0,0,0,30.5,S,First,man,True,C,Southampton,yes,True,0.11237978554716592
